Date,Open,High,Low,Close,Adj Close,Volume
2019-04-15,88.809998,89.190002,87.529999,88.919998,82.977974,513300
2019-04-16,89.199997,89.500000,88.410004,88.730003,82.800674,606200
2019-04-17,88.870003,88.900002,88.220001,88.680000,82.754013,473300
2019-04-18,88.959999,90.910004,88.930000,90.839996,84.769669,616800
2019-04-22,90.940002,90.940002,87.010002,88.000000,82.119453,827000
2019-04-23,88.559998,89.620003,88.050003,88.449997,82.539383,715500
2019-04-24,88.489998,89.169998,87.900002,88.580002,82.660698,535400
2019-04-25,88.699997,88.839996,87.680000,88.620003,82.698021,582300
2019-04-26,88.779999,89.599998,88.000000,89.489998,83.509895,462600
2019-04-29,86.739998,88.709999,85.849998,88.139999,82.250092,912700
2019-04-30,87.919998,88.779999,86.900002,87.440002,81.596878,662000
2019-05-01,87.430000,88.220001,86.639999,87.709999,81.848831,453300
2019-05-02,87.989998,88.949997,87.290001,88.430000,82.520737,490100
2019-05-03,88.940002,90.620003,88.660004,89.720001,83.724510,567300
2019-05-06,89.059998,90.940002,89.050003,90.339996,84.303078,534600
2019-05-07,89.769997,90.870003,89.489998,90.639999,84.583038,501200
2019-05-08,90.519997,90.519997,89.029999,89.680000,83.687195,477600
2019-05-09,89.059998,90.620003,89.019997,90.180000,84.153770,567100
2019-05-10,89.860001,90.449997,89.180000,90.190002,84.163116,615900
2019-05-13,89.209999,89.209999,87.870003,88.680000,82.754013,678000
2019-05-14,88.879997,89.750000,88.779999,89.370003,83.397911,959900
2019-05-15,89.919998,91.550003,89.089996,89.669998,83.677864,788900
2019-05-16,89.720001,92.180000,89.720001,91.290001,85.189606,631600
2019-05-17,91.169998,92.379997,90.690002,90.820000,84.751015,609800
2019-05-21,90.879997,92.379997,90.389999,92.199997,86.038780,723700
2019-05-22,92.070000,92.959999,91.730003,92.360001,86.188110,393800
2019-05-23,92.320000,93.279999,92.000000,92.459999,86.281418,648600
2019-05-24,92.720001,92.930000,91.879997,92.019997,85.870811,618400
2019-05-27,92.110001,93.019997,92.110001,92.510002,86.328072,105700
2019-05-28,92.879997,93.239998,91.959999,92.070000,85.917473,496000
2019-05-29,91.540001,91.550003,88.809998,89.070000,83.117943,678700
2019-05-30,89.070000,89.070000,84.839996,87.949997,82.072800,961600
2019-05-31,87.519997,89.000000,87.440002,88.959999,83.015305,727300
2019-06-03,88.430000,88.809998,87.430000,87.830002,81.960815,699800
2019-06-04,88.220001,88.279999,86.760002,86.989998,81.176941,684500
2019-06-05,87.739998,88.769997,86.889999,88.739998,82.810005,622300
2019-06-06,88.849998,88.989998,87.370003,87.820000,81.951485,510600
2019-06-07,88.300003,89.089996,87.760002,89.029999,83.080620,364600
2019-06-10,89.029999,89.339996,88.290001,88.750000,82.819328,494000
2019-06-11,89.260002,89.400002,87.910004,88.970001,83.024628,370300
2019-06-12,89.570000,90.989998,89.089996,90.870003,84.797668,574700
2019-06-13,91.120003,91.400002,90.410004,91.089996,85.002960,707400
2019-06-14,90.720001,91.500000,90.470001,90.940002,85.488037,511000
2019-06-17,90.959999,91.269997,90.480003,91.089996,85.629036,382400
2019-06-18,91.389999,91.980003,91.169998,91.529999,86.042656,392900
2019-06-19,91.900002,92.360001,91.309998,92.250000,86.719505,406200
2019-06-20,91.809998,92.620003,91.150002,91.800003,86.296471,301900
